Reagent                                              ,Concentration ,Size      ,Qty ,Price  ,Total Price ,Catalog #    ,Vendor        ,Storage Code   , , ,
Ammonium molybdate REAGENT    (NH4)2MoO4             ,POWDER        ,5g        , 50 , 60.9  ,    3045    ,AC193520050  ,Fisher        ,Blue           , , ,
Seliwanoff reagent                                   ,as is         ,100ml     , 30 ,  8.15 ,     244.5  ,S25798       ,Fisher        ,white          , , ,
nitric acid    HNO3                                  ,1N            ,100ml     , 10 , 62.86 ,     628.6  ,SA95         ,Fisher        ,White-ISOLATED , , ,
calibration buffer for ph meter and storage solution ,as is         ,500g each ,  6 , 33.95 ,     203.7  ,185740       ,Carolina      ,Green          , , ,
Lugol (IKI)                                          ,2%            ,500ml     ,  6 , 10.5  ,      63    ,S99481       ,Fisher        ,Green          , , ,
Sodium hydroxide NaOH                                ,PELLETS       ,500g      ,  6 , 12.05 ,      72.3  ,S25548B      ,Fisher        ,White          , , ,
1-propanol                                           ,99%           ,500ml     ,  5 , 12.75 ,      63.75 ,S25507       ,Fisher        ,Red            , , ,
camphor                                              ,96%           ,100g      ,  5 , 12.2  ,      61    ,S25232A      ,Fisher        ,Red            , , ,
Cupric Sulfate CuSO4.5H20                            ,POWDER        ,500g      ,  5 , 15.75 ,      78.75 ,S25286A      ,Fisher        ,Blue           , , ,
cyclohexene                                          ,99%           ,500ml     ,  5 , 58.65 ,     293.25 ,S25291A      ,Fisher        ,Red            , , ,
calcium chloride  CaCl2                              ,POWDER        ,500g      ,  4 ,  7.85 ,      31.4  ,S25223       ,Fisher        ,Green          , , ,
ethyl alcohol                                        ,95%           ,4L        ,  4 , 37    ,     148    ,S25310A      ,Fisher        ,Red            , , ,
potassium chloride   KCl                             ,95%           ,500g      ,  4 , 10.38 ,      41.52 ,S25484A      ,Fisher        ,Green          , , ,
Sodium hydroxide NaOH                                ,0.1M          ,4l        ,  4 , 95.1  ,     380.4  ,SS276-4      ,Fisher        ,White          , , ,
Acetone                                              ,as is         ,4L        ,  3 , 41    ,     123    ,S25120A      ,Fisher        ,Red            , , ,
Sodium chloride    NaCl                              ,POWDER        ,3kg       ,  3 , 22.75 ,      68.25 ,S25542A      ,Fisher        ,Green          , , ,
Tyrosine                                             ,99%           ,100g      ,  3 ,148.6  ,     445.8  ,AC16357-1000 ,Fisher        ,Green          , , ,
"vinegar, white"                                     ,as is         ,3.8L      ,  3 ,  9.25 ,      27.75 ,S25623A      ,Fisher        ,Green          , , ,
acetic acid 10%                                      ,10%           ,1L        ,  2 , 68.4  ,     136.8  ,SA9010-1     ,Fisher        ,White          , , ,
acetic acid glacial   HC2H3O2                        ,conc. (17M)   ,2.5L      ,  2 , 68.75 ,     137.5  ,S25118       ,Fisher        ,White          , , ,
ammonium chloride  NH4Cl                             ,POWDER        ,500g      ,  2 , 11.5  ,      23    ,S25168A      ,Fisher        ,Green          , , ,
Barium chloride   BaCl2                              ,POWDER        ,500g      ,  2 ,  9.45 ,      18.9  ,S25187       ,Fisher        ,Blue           , , ,
Benedicts reagent                                    ,as is         ,4L        ,  2 , 38    ,      76    ,S25193B      ,Fisher        ,Green          , , ,
"Buffer ph 2, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849470       ,Carolina      ,Green          , , ,
"Buffer ph 3, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849480       ,Carolina      ,Green          , , ,
"Buffer ph 4, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849490       ,Carolina      ,Green          , , ,
"Buffer ph 5, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849500       ,Carolina      ,Green          , , ,
"Buffer ph 6, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849510       ,Carolina      ,Green          , , ,
"Buffer ph 7, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849520       ,Carolina      ,Green          , , ,
"Buffer ph 8, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849530       ,Carolina      ,Green          , , ,
"Buffer ph 9, 10 vials"                              ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849540       ,Carolina      ,Green          , , ,
"Buffer ph 10, 10 vials"                             ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849550       ,Carolina      ,Green          , , ,
"Buffer ph 11, 10 vials"                             ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849560       ,Carolina      ,Green          , , ,
"Buffer ph 12, 10 vials"                             ,crystal       ,1L        ,  2 ,  9.5  ,      19    ,849570       ,Carolina      ,Green          , , ,
cyclohexane                                          ,95%           ,1L        ,  2 , 38.75 ,      77.5  ,S25292A      ,Fisher        ,Red            , , ,
Egg albumin                                          ,POWDER        ,500g      ,  2 , 32    ,      64    ,S25132B      ,Fisher        ,Green          , , ,
glucose                                              ,solid         ,1kg       ,  2 , 15.65 ,      31.3  ,S25295B      ,Fisher        ,Green          , , ,
Hydrochloric acid    HCL                             ,conc  (12M)   ,2.5L      ,  2 , 52    ,     104    ,S25838A      ,Fisher        ,White          , , ,
Hydrochloric acid    HCL                             ,6N            ,4L        ,  2 ,202    ,     404    ,SA56-4       ,Fisher        ,White          , , ,
Iron (III) chloride   FeCl3                          ,POWDER        ,500g      ,  2 , 24    ,      48    ,S25317A      ,Fisher        ,White          , , ,
"ninhydrin (1 ,2,3 -Indantrione Monohydrate)"        ,crystal       ,10g       ,  2 , 27.05 ,      54.1  ,S25448       ,Fisher        ,Green          , , ,
phenolphtalein indicator                             ,as is         ,1L        ,  2 ,111.68 ,     223.36 ,SP62-1       ,Fisher        ,Green          , , ,
Potassium permanganate   KMnO4                       ,crystal       ,500g      ,  2 , 15.35 ,      30.7  ,S25497A      ,Fisher        ,Yellow         , , ,
salicylic acid                                       ,crystal       ,500g      ,  2 ,138.85 ,     277.7  ,A275-500     ,Fisher        ,Green          , , ,
silver nitrate  AgNO3                                ,POWDER        ,100g      ,  2 ,668.67 ,    1337.34 ,S486-100     ,Fisher        ,Yellow         , , ,
Sodium carbonate   Na2CO3                            ,95%           ,500g      ,  2 ,  9    ,      18    ,S25539B      ,Fisher        ,Green          , , ,
Sodium hydroxide  NaOH                               ,6N            ,4L        ,  2 ,108.55 ,     217.1  ,50-878-519   ,Fisher        ,White          , , ,
sodium hydroxide   NaOH                              ,1N            ,1L        ,  2 , 46.32 ,      92.64 ,SS266-1      ,Fisher        ,White          , , ,
sodium phosphate   Na3PO4                            ,crystal       ,500g      ,  2 , 11.5  ,      23    ,S25564       ,Fisher        ,Green          , , ,
"Starch, corn"                                       ,solid         ,2.5Kg     ,  2 , 52.45 ,     104.9  ,S25580A      ,Fisher        ,Green          , , ,
sucrose                                              ,solid         ,2.5Kg     ,  2 , 31    ,      62    ,S25590B      ,Fisher        ,Green          , , ,
yeast                                                ,as is         ,500g      ,  2 , 33.65 ,      67.3  ,S25632A      ,Fisher        ,Green          , , ,
1-octanol                                            ,99%           ,2.5L      ,  1 ,122    ,     122    ,AC15063-0025 ,Fisher        ,Red            , , ,
1-pentanol                                           ,99%           ,2.5L      ,  1 , 73.5  ,      73.5  ,AC16060-0025 ,Fisher        ,Red            , , ,
acetic acid  HC2H3O2                                 ,1N            ,1L        ,  1 ,115.09 ,     115.09 ,SA36-1       ,Fisher        ,White          , , ,
Biuret reagent                                       ,as is         ,4L        ,  1 , 56.95 ,      56.95 ,848215       ,Carolina      ,Green          , , ,
benzaldehyde                                         ,liquid        ,1kg       ,  1 , 58    ,      58    ,B1334        ,sigma-aldrich ,red            , , ,
benzyl alcohol                                       ,99%           ,2.5L      ,  1 ,134.6  ,     134.6  ,AC14839-0025 ,Fisher        ,red            , , ,
Bromine liquid                                       ,liquid        ,5 g       ,  1 , 32.4  ,      32.4  ,207888       ,sigma-aldrich ,red            , , ,
charcoal                                             ,powder        ,500g      ,  1 , 35.75 ,      35.75 ,S25244       ,Fisher        ,Red            , , ,
cinnamaldehyde                                       ,powder        ,100g      ,  1 , 76.6  ,      76.6  ,ICN15069080  ,Fisher        ,Green          , , ,
cyclohexanone                                        ,99%           ,2.5L      ,  1 , 63.4  ,      63.4  ,AAA156070F   ,Fisher        ,Red            , , ,
dichloromethane (methylene chloride)                 ,100%          ,2.5L      ,  1 , 86.5  ,      86.5  ,AC40692-0025 ,Fisher        ,Red            , , ,
fructose                                             ,POWDER        ,1Kg       ,  1 , 45.28 ,      45.28 ,AAA177180B   ,Fisher        ,Green          , , ,
gelatin                                              ,POWDER        ,500 g     ,  1 , 20.95 ,      20.95 ,864660       ,Carolina      ,Green          , , ,
Glycine                                              ,crystal       ,1kg       ,  1 , 96.1  ,      96.1  ,BP381-1      ,Fisher        ,Green          , , ,
Iodine   I2                                          ,crystal       ,500g      ,  1 ,970.42 ,     970.42 ,I35-500      ,Fisher        ,Green          , , ,
Isopropanol                                          ,95%           ,3.78L     ,  1 , 36    ,      36    ,S25372A      ,Fisher        ,Red            , , ,
lactose                                              ,POWDER        ,1Kg       ,  1 , 60.33 ,      60.33 ,50-700-2548  ,Fisher        ,Green          , , ,
Magnesium chloride MgCl2                             ,crystal       ,1kg       ,  1 , 39.4  ,      39.4  ,AC223210010  ,Fisher        ,Green          , , ,
methanol                                             ,as is (99%)   ,4L        ,  1 ,154    ,     154    ,A454-4       ,Fisher        ,Red            , , ,
nitric acid  HNO3                                    ,6N            ,2.5L      ,  1 , 84.25 ,      84.25 ,NC9782091    ,Fisher        ,White-ISOLATED , , ,
Nitric acid HNO3                                     ,70% = 15.9M   ,2.5L      ,  1 , 84.9  ,      84.9  ,AC424000026  ,Fisher        ,White-ISOLATED , , ,
Phosphoric acid H3PO4                                ,85%           ,2.5L      ,  1 , 64.5  ,      64.5  ,S25470B      ,Fisher        ,white          , , ,
Potassium thiocyanate KSCN                           ,95%           ,500g      ,  1 , 35.65 ,      35.65 ,S25506A      ,Fisher        ,Green          , , ,
propanal                                             ,97%           ,2.5L      ,  1 ,211.8  ,     211.8  ,AC13151-0025 ,Fisher        ,Red            , , ,
sodium sulfate  Na2SO4                               ,POWDER        ,1Kg       ,  1 ,100.35 ,     100.35 ,S415-1       ,Fisher        ,Green          , , ,
vanillin                                             ,crystal       ,100g      ,  1 , 36.4  ,      36.4  ,AC14082-1000 ,Fisher        ,Green          , , ,
                                                     ,              ,          ,    ,       ,            ,             ,              ,               , , ,
TOTAL                                                ,              ,          ,    ,       ,   12753.23 ,             ,              ,               , , ,
